Institution,Latitude,Longitude,City,Country,Address,Description,Grantees Hosted,Years Active,Example Project Titles
TWIns (Tokyo Women's Medical Univ. / Waseda Univ. Joint Institute),35.6979038,139.7203396,Tokyo,JP,"Shinjuku, Tokyo 162-8480, Japan","TWIns (Tokyo Women's Medical Univ. / Waseda Univ. Joint Institute) is located in Tokyo, Japan. It has hosted 1 Whitaker International fellow (2017). Whitaker fellows here have worked across cardiovascular engineering, tissue engineering & regenerative medicine, computational modeling & systems biology, and auditory & hearing research.",1,2017,Relative Therapeutic Potential of Stem Cell-Derived Cardiac Cell Sheets in Ischemic Heart Model
Tokyo Women's Medical University,35.6979038,139.7203396,Tokyo,JP,"8-1 Kawadacho, Shinjuku, Tokyo 162-0054, Japan","Tokyo Women's Medical University is located in Tokyo, Japan. It has hosted 2 Whitaker International fellows (all in 2016). Whitaker fellows here have worked on tissue engineering & regenerative medicine and orthopedics & biomechanics.",2,2016,Chondrocyte-differentiated stem cell sheets for clinically applicable cartilage regeneration | pH-Induced Cellular Uptake and Delivery of Chemotherapeutics from Thermoresponsive Micelles
Diagnostics for All - Kenya program,-1.286389,36.817223,Nairobi,KE,"Nairobi, Kenya (Diagnostics for All Kenya program)","Diagnostics for All - Kenya program is located in Nairobi, Kenya. It has hosted 1 Whitaker International fellow (2011). Whitaker fellows here have worked on biomedical imaging and biosensors & microfluidics.",1,2011,A Low Cost Liver Function Diagnostic
Inha University School of Medicine,37.4500221,126.653488,Incheon,KR,"100 Inha-ro, Michuhol-gu, Incheon, South Korea","Inha University School of Medicine is located in Incheon, South Korea. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on drug delivery & nanomedicine.",1,2013,Nanoparticles for Intranasal Drug Delivery: In vivo Evaluation
Korea Institute of Science and Technology (KIST),37.6006918,127.046371,Seoul,KR,"5 Hwarang-ro 14-gil, Seongbuk District, Seoul, South Korea","Korea Institute of Science and Technology (KIST) is located in Seoul, South Korea. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked on drug delivery & nanomedicine.",1,2016,Development of a novel nanoparticle-based drug delivery system to treat chronic inflammation
Yonsei University,37.5663937,126.9387066,Seoul,KR,"50 Yonsei-ro, Seodaemun-gu, Seoul, South Korea","Yonsei University is located in Seoul, South Korea. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked across biosensors & microfluidics, cancer & tumor biology, medical devices & implants, and global & resource-limited health.",1,2014,Point-of-Care Device Development for H1N1A and Cancer Diagnostics
Vilnius Gediminas Technical University (VILNIUS TECH),54.7226447,25.3378447,Vilnius,LT,"Sauletekio al. 11, 10223 Vilnius, Lithuania","Vilnius Gediminas Technical University (VILNIUS TECH) is located in Vilnius, Lithuania. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on neural engineering & neuroscience and computational modeling & systems biology.",1,2010,Diagnosing Parkinson`s Disease via an Artificial Neural Network Musculoskeletal Model
Tecnologico de Monterrey,25.6515649,-100.28954,Monterrey,MX,"Av Eugenio Garza Sada 2501 Sur, 64700 Monterrey, Mexico","Tecnologico de Monterrey is located in Monterrey, Mexico. It has hosted 2 Whitaker International fellows (all in 2012).",2,2012,
Eindhoven University of Technology (TU/e),51.4479973,5.4859005,Eindhoven,NL,"Het Eeuwsel 53, 5612 AZ Eindhoven, Netherlands","A leading Dutch technical university with a tightly integrated biomedical engineering department and a strong industry pipeline to medtech companies in the Eindhoven 'Brainport' region. It has hosted 4 Whitaker International fellows between 2008 and 2017. Whitaker fellows here have worked across cardiovascular engineering, computational modeling & systems biology, medical devices & implants, and rehabilitation & assistive technology.",4,2008–2017,Cardiomyogenic Differentiation of Cardiomyocyte Progenitor Cells (CMPCs) | Designing a novel controlled cytokine release system to prevent bioprosthetic heart valve failure | Development of artificial nulcleous pulposus system to simulate the inter-vertebral disc
Erasmus MC (Erasmus University Medical Center),51.91093,4.468131,Rotterdam,NL,"Dr. Molewaterplein 40, 3015 GD Rotterdam, Netherlands","One of the largest academic medical centers in Europe, located in Rotterdam, with strong programs in cardiovascular imaging (especially the Thoraxcenter), neuroscience, and clinical bioengineering. It has hosted 4 Whitaker International fellows between 2006 and 2014. Fellows have been hosted within the Thoraxcenter. Whitaker fellows here have worked on biomedical imaging and drug delivery & nanomedicine.",4,2006–2014,Dynamics of Drug Release from Targeted Echogenic Liposomes | Medical Ultrasound and Photoacoustic Imaging Using Perfluorocarbon Nanodroplet Dual Contrast Agents | Supplementing IVUS Elastography with ARFI Elasticity Imaging for Improved Atherosclerotic Plaque Assessment
Leiden University,52.156569,4.4866564,Leiden,NL,"Rapenburg 70, 2311 EZ Leiden, Netherlands","Leiden University is located in Leiden, Netherlands. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on neural engineering & neuroscience and biomedical imaging.",1,2013,High Field Clinical Magnetic Resonance Imaging of Anomalous Diffusion in Neurodegeneration
"MERLN Institute, Maastricht University",50.836635,5.7159999,Maastricht,NL,"Universiteitssingel 40, 6229 ER Maastricht, Netherlands","MERLN Institute, Maastricht University is located in Maastricht, Netherlands. It has hosted 1 Whitaker International fellow (2017). Whitaker fellows here have worked on ophthalmology & vision research.",1,2017,EyeSciTe Cell Technology
Maastricht University,50.8471776,5.686356,Maastricht,NL,"Minderbroedersberg 4-6, 6211 LK Maastricht, Netherlands","Maastricht University is located in Maastricht, Netherlands. It has hosted 1 Whitaker International fellow (2007). Whitaker fellows here have worked on biomedical imaging and mechanobiology & cell mechanics.",1,2007,Spatiotemporal aspects of platelet activation: a novel antithrombotic strategy targeting cytoskeletal regulation
Radboud University,51.8220437,5.8635824,Nijmegen,NL,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands","Radboud University is located in Nijmegen, Netherlands. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on biomedical imaging.",1,2015,Design of Biomimetic Material Stimulated by Out-of-equilibrium Reactions
Radboud University Medical Center,51.8234259,5.8613923,Nijmegen,NL,"Geert Grooteplein Zuid 10, 6525 GA Nijmegen, Netherlands","Radboud University Medical Center is located in Nijmegen, Netherlands. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on orthopedics & biomechanics and mechanobiology & cell mechanics.",1,2013,Mechanobiological Investigation of Porous Orthopaedic
University Medical Center Utrecht (UMC Utrecht),52.0858554,5.1795793,Utrecht,NL,"Heidelberglaan 100, 3584 CX Utrecht, Netherlands","University Medical Center Utrecht (UMC Utrecht) is located in Utrecht, Netherlands. It has hosted 3 Whitaker International fellows between 2014 and 2016. Fellows have been hosted within the Wilhemina Children's Hospital. Whitaker fellows here have worked across fluid dynamics & cardiovascular flow, biomedical imaging, and ultrasound therapy.",3,2014–2016,Improved magnetic resonance guidance for focused ultrasound thermal therapy in fatty tissues | Investigation of TAP-Independent Cross presentation mechanism for PLGA particle antigen delivery | Probing the Dynamic Properties of Deformable Drug Carriers in Blood Flow
University of Groningen,53.2193266,6.5628301,Groningen,NL,"Broerstraat 5, 9712 CP Groningen, Netherlands","University of Groningen is located in Groningen, Netherlands. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on drug delivery & nanomedicine and medical devices & implants.",1,2015,Thin-Sheet Device for the Encapsulation of Islets in a Bioartificial Pancreas
University of Twente,52.2396538,6.84979,Enschede,NL,"Drienerlolaan 5, 7522 NB Enschede, Netherlands","University of Twente is located in Enschede, Netherlands. It has hosted 2 Whitaker International fellows between 2012 and 2016. Whitaker fellows here have worked across neural engineering & neuroscience, biomedical imaging, and rehabilitation & assistive technology.",2,2012–2016,Electrophysiological biomarkers of Parkinsons disease for deep brain stimulation | Post-Stroke Lower Extremity Synergies and Locomotion
Utrecht University,52.0859667,5.1715372,Utrecht,NL,"Heidelberglaan 8, 3584 CS Utrecht, Netherlands","Utrecht University is located in Utrecht, Netherlands. It has hosted 1 Whitaker International fellow (2011).",1,2011,
Vrije Universiteit Amsterdam (VU),52.3337568,4.8657199,Amsterdam,NL,"De Boelelaan 1105, 1081 HV Amsterdam, Netherlands","An Amsterdam research university with strong biomedical engineering in human movement sciences, neuroscience, and rehabilitation technology. It has hosted 2 Whitaker International fellows between 2008 and 2012. Whitaker fellows here have worked on biomedical imaging.",2,2008–2012,Spectral Domain Optical Coherence Phase Miscroscopy of Intracellular Dynamics | Use of multi-lead EMG to estimate trunk muscle forces
